2026-04-20T06:40:41 consumer obsolete_ignored entity_id=93 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=97 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=104 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=111 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=118 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=128 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=133 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=139 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=140 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=142 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=143 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=145 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=147 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=150 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=161 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=163 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=168 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=171 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=174 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=178 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=179 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=183 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=185 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=199 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=200 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=201 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=203 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=209 version=3 current=4
2026-04-20T06:40:41 consumer obsolete_ignored entity_id=210 version=3 current=4
